City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,1.33,99,100,11.46,TF,1720808080
1,dolores,-36.3132,-57.6792,10.73,54,5,2.56,AR,1720808081
2,isetskoye,56.4858,65.3226,19.51,85,62,2.5,RU,1720808083
3,port elizabeth,-33.918,25.5701,15.05,86,78,0.45,ZA,1720807834
4,blackmans bay,-43.0167,147.3167,6.4,87,75,0.45,AU,1720808085
5,keflavik,64.0049,-22.5624,11.95,100,100,12.86,IS,1720808086
6,west island,-12.1568,96.8225,26.99,78,20,3.6,CC,1720808087
7,okha,53.5739,142.9478,9.23,96,100,1.81,RU,1720808088
8,ushuaia,-54.8,-68.3,8.79,70,40,15.43,AR,1720807831
9,adamstown,-25.066,-130.1015,19.56,87,100,5.96,PN,1720807959
10,sitka,57.0531,-135.33,12.94,94,100,3.09,US,1720808092
11,tiksi,71.6872,128.8694,1.82,92,73,5.53,RU,1720808093
12,thompson,55.7435,-97.8558,19.09,59,40,4.12,CA,1720808094
13,fale old settlement,-9.3852,-171.2468,28.83,72,56,7.69,TK,1720808096
14,bethel,41.3712,-73.414,28.05,72,100,2.57,US,1720808098
15,nova sintra,14.8667,-24.7167,25.1,78,28,3.83,CV,1720808099
16,tofol,5.3248,163.0078,27.5,82,100,5.25,FM,1720808100
17,saimbeyli,37.9863,36.0906,15.78,84,34,1.57,TR,1720808101
18,riberalta,-10.9833,-66.1,25.11,53,20,7.72,BO,1720808102
19,iqaluit,63.7506,-68.5145,9.85,62,75,8.23,CA,1720808103
20,puerto natales,-51.7236,-72.4875,11.25,46,20,7.72,CL,1720808105
21,elizabeth city,36.2946,-76.2511,31.12,77,75,2.57,US,1720808106
22,karagay,58.2667,54.9368,13.05,71,82,3.68,RU,1720808107
23,punta arenas,-53.15,-70.9167,8.01,70,75,7.2,CL,1720807940
24,iskateley,67.6803,53.1512,11.72,67,100,1.07,RU,1720808109
25,klyuchi,52.2667,79.1667,21.55,67,6,2.74,RU,1720808110
26,ouallam,14.3188,2.0866,35.41,35,77,2.52,NE,1720808111
27,waitangi,-43.9535,-176.5597,8.79,90,18,1.79,NZ,1720808113
28,batesburg-leesville,33.9101,-81.5373,34.07,59,75,1.76,US,1720808114
29,manakara,-22.1333,48.0167,19.13,80,0,2.46,MG,1720808115
30,irati,-25.4672,-50.6511,12.08,99,100,1.09,BR,1720808116
31,uturoa,-16.7333,-151.4333,26.03,82,97,8.11,PF,1720808117
